ayahRef,wordId,word,translation,highlight
,,هَٰذَا,This,
2:25,,قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ,"They will say, “This is what we were provided with before,”",هَٰذَا
2:26,,مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۘ,“What did Allah intend by this example?”,بِهَٰذَا
30:56,,فَهَٰذَا يَوۡمُ ٱلۡبَعۡثِ,This is the Day of Resurrection,فَهَٰذَا
,,ذَٰلِكَ,That,
2:2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ,This (that) is the Book in which there is no doubt,بِذَٰلِكَ
45:24,,وَمَا لَهُم بِذَٰلِكَ مِنۡ عِلۡمٍۖ إِنۡ هُمۡ إِلَّا يَظُنُّون,Of that they have no knowledge; they are only assuming.,فَذَٰلِكَ
74:9,,فَذَٰلِكَ يَوۡمَئِذٖ يَوۡمٌ عَسِيرٌ,That Day will be a difficult day.,فَذَٰلِكَ 
,,هَٰذِهِ,This,
7:19,,وَلَا تَقۡرَبَا هَٰذِهِ ٱلشَّجَرَةَ,but do not approach this tree,هَٰذِهِ
16:30,,لِّلَّذِينَ أَحۡسَنُواْ فِي هَٰذِهِ ٱلدُّنۡيَا حَسَنَةٞۚ,"For those who do good in this world, is goodness.",هَٰذِهِ
26:155,,قَالَ هَٰذِهِۦ نَاقَةٞ لَّهَا شِرۡبٞ,"“This is a she-camel; she has her turn of drinking,”",هَٰذِهِۦ
,4,تِلۡكَ ,That,
2:134,,تِلۡكَ أُمَّةٞ قَدۡ خَلَتۡۖ,That was a nation that has passed on;,تِلۡكَ
6:83,,وَتِلۡكَ حُجَّتُنَآ ءَاتَيۡنَٰهَآ إِبۡرَٰهِيمَ عَلَىٰ قَوۡمِهِۦۚ,That was Our argument which We gave to Abraham against his people.,تِلۡكَ
,,هَٰٓؤُلَآء,These,
4:41,,وَجِئۡنَا بِكَ عَلَىٰ هَٰٓؤُلَآءِ شَهِيدٗا,And We bring you as a witness against these?,هَٰٓؤُلَآءِ
6:53,,لِّيَقُولُوٓاْ أَهَٰٓؤُلَآءِ مَنَّ ٱللَّهُ عَلَيۡهِم,“Are these the ones whom Allah has favored from among us?”,أَهَٰٓؤُلَآءِ
,,أُوْلَٰٓئِكَ,Those,
2:5,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",فَأُوْلَٰٓئِكَ
