Id,StageId,LessonId,Audio ID,Gender,Number,Word,Meaning
1,1,1,1-1-1,Male,Singular,هَٰذَا,This
2,1,1,1-1-2,Male,Singular,ذَٰلِكَ,That
3,1,1,1-1-3,Female,Singular,هَٰذِهِ,This
4,1,1,1-1-4,Female,Singular,تِلۡكَ,That
5,1,1,1-1-5,,Plural,هَٰٓؤُلَآء,These
6,1,1,1-1-6,,Plural,أُوْلَٰٓئِكَ,Those
7,1,1,1-1-7,Male,Singular,ٱلَّذِي, who
8,1,1,1-1-8,Female,Singular,ٱلَّتِي, who
9,1,1,1-1-9,,Plural,ٱلَّذِينَ,Those who
10,1,1,1-1-10,,Plural,ٱلَّتِي,Those who
11,1,1,1-1-11,,Plural,هَٰذِهِ,These
12,1,1,1-1-12,,Plural,تِلۡكَ,Those
13,1,2,1-2-1 ,,,نَعَمۡ,Yes
14,1,2,1-2-2,,,بَلَي,"Yes, indeed"
15,1,2,1-2-3,,,كَلَّا,Certainly not
16,1,2,1-2-4,,,إِلَّا,Except
17,1,2,1-2-5,,,إِنۡ .. إِلَّا,Nothing but
18,1,2,1-2-6,,,مَا .. إِلَّا,Nothing but
19,1,2,1-2-7,,,أَلَّا,So as not to/ that not
20,1,2,1-2-8,,,لَا,Do(es) not
21,1,2,1-2-9,,,مَا,Not (continuous)
22,1,2,1-2-10,,,لَنۡ,Will not
23,1,2,1-2-11,,,لَمۡ,Did not
24,1,2,1-2-12,Male,Singular ,لَيۡسَ,(There is) no
25,1,2,1-2-13,Female,Singular ,لَيۡسَت,(There is) no
26,1,2,1-2-14,,,غَيۡر,Other than
27,1,2,1-2-15,,,غَيۡر,not
28,1,2,1-2-16,,,مِن دُون,Apart from
29,1,3,1-3-1,,,أَ,Yes/ no Questions
30,1,3,1-3-2,,,هَلۡ,Yes/ no Questions
31,1,3,1-3-3,,,مَا,What ...?
32,1,3,1-3-4,,,مَاذا,What ...?
33,1,3,1-3-5,,,لِمَ,Why…?
34,1,3,1-3-6,,,مَنۡ,Who...?
35,1,3,1-3-7,,,مَتَى,When ...?
36,1,3,1-3-8,,,أَيۡنَ,Where...?
37,1,3,1-3-9,,,كَيۡفَ,How...?
38,1,3,1-3-10,,,كَمۡ,How many/ much?
39,1,3,1-3-11,,,أَيُّ,Which?
40,1,3,1-3-12,,,أنَّى,How...?
41,1,3,1-3-13,,,أنَّى,From Where..?
42,1,4,1-4-1,,,فَوۡق,Above/ on/ over
43,1,4,1-4-2,,,تَحۡت,Under(neath)/ beneath
44,1,4,1-4-3,,,يَمِين,Right (hand)
45,1,4,1-4-4,,,شِمَال,Left (hand)
46,1,4,1-4-5,,,بَيۡن,Between/ Among
47,1,4,1-4-6,,,بَيۡن يَدَي,Before (place/ time)
48,1,4,1-4-7,,,بَيۡنَ أَيۡدِي,Before (place/ time)
49,1,4,1-4-8,,,خَلۡف,Behind
50,1,4,1-4-9,,,خَلۡف,Successor
51,1,4,1-4-10,,,وَرَاء,Behind
52,1,4,1-4-11,,,وَرَاء,Beyond (after)
53,1,4,1-4-12,,,حَوۡل,(A)round
54,1,4,1-4-13,,,حَيۡثُ,Wherever
55,1,4,1-4-14,,,أَيۡنَمَا,Wherever
56,1,5,1-5-1,,,بـِـ,In
57,1,5,1-5-2,,,عَنۡ,(away) From/ about
58,1,5,1-5-3,,,فِي,In/ during
59,1,5,1-5-4,,,كَــ,As/ like
60,1,5,1-5-5,,,لـ,For (belongs to)
61,1,5,1-5-6,,,مِنۡ,from
62,1,5,1-5-7,,,إِلَى,(to)wards
63,1,5,1-5-8,,,حَتَّى,Until
64,1,5,1-5-9,,,عَلَى,On/ upon/ over
65,1,5,1-5-10,,,مَعَ,With
66,1,5,1-5-11,,,وَ,And/ by (swear by)
67,1,6,1-6-1,,,إِنَّ,Verily/ truly
68,1,6,1-6-2,,,أَنَّ,That (+nouns)
69,1,6,1-6-3,,,إِنۡ,If
70,1,6,1-6-4,,,لَئِن,If
71,1,6,1-6-5,,,أَنۡ,to in order to (+ Verbs)
72,1,6,1-6-6,,,كأَنَّ,As if
73,1,6,1-6-7,,,لَكِن,But
74,1,6,1-6-8,,,لَمَّا,When
75,1,6,1-6-9,,,لَوۡ,If
76,1,6,1-6-10,,,لَوۡلَا,But for
77,1,6,1-6-11,,,لَوۡلَا,why .. not
78,1,6,1-6-12,,,(مِنۡ) قَبۡل,Before
79,1,6,1-6-13,,,(مِنۡ) بَعۡد,After
80,1,6,1-6-14,,,إِذۡ,When (for past)
81,1,6,1-6-15,,,إِذَا,When
82,1,6,1-6-16,,,ثُمَّ,(for present/future)
83,1,6,1-6-17,,,فَــ,Then (directly after)/so
84,1,7,1-7-1,,,ذُو ,Of (belonging to)
85,1,7,1-7-2,,,ذَا,Of (belonging to)
86,1,7,1-7-3,,, ذِي,Of (belonging to)
87,1,7,1-7-4,,,ذَات,Of (belonging to)
88,1,7,1-7-5,,,أُولُواْ,Of (belonging to)
89,1,7,1-7-6,,,أُولِي,Of (belonging to)
90,1,7,1-7-7,,,أَهۡل,Family/ People of
91,1,7,1-7-8,,,ءَالِ,Family/ people of
92,1,7,1-7-9,,,أَلَا,Lo!
93,1,7,1-7-10,,,أَلَا,Will/ do .. not ?
94,1,7,1-7-11,,,نِعۡمَ,What a good … !
95,1,7,1-7-12,,,بِئۡسَ,What a foul/ bad ..!
96,1,7,1-7-13,,, مِثۡل,Like
97,1,7,1-7-14,,,مَثَل ,Example
98,1,7,1-7-15,,,أَو,Or
99,1,7,1-7-16,,,أَم,Or ?
100,1,7,1-7-17,,,بَعۡض,Some/ part (of)
101,1,7,1-7-18,,,كُل,Every/ each
102,1,7,1-7-19,,,لَعَلَّ,Perhaps/ may
103,1,7,1-7-20,,,عَسَى,Possibly/ may
104,1,7,1-7-21,,,يا (أَيُّهَا),O!
105,1,7,1-7-22,,,عِنۡد ,At/ with/ from
106,1,7,1-7-23,,,لَدى,At/ with/ from
107,1,7,1-7-24,,,لَدُن,At/ with/ from
108,1,7,1-8-1,,,مَا,Not (negation)
109,1,8,1-8-2,,,مَا,What (question word)
110,1,8,1-8-3,,,مَا ,Which/ that (Relative pronoun)
111,1,8,1-8-4,,,بِـمَا ,With which ..
112,1,8,1-8-5,,,بِـمَ,With what?
113,1,8,1-8-6,,,عَمَّا ,About which..
114,1,8,1-8-7,,,عَمَّ,About what?
115,1,8,1-8-8,,,فِيمَا  ,In which ..
116,1,8,1-8-9,,,فِيمَ,In what?
117,1,8,1-8-10,,, مِمَّا  ,From which ..
118,1,8,1-8-11,,, مِمَّ,From what?
119,1,8,1-8-12,,,لِمَا,To/ For which ..
120,1,8,1-8-13,,,لِمَ,For what? Why?
121,1,8,1-8-14,,,كَـمَا ,Like that
122,1,8,1-8-15,,,إنَّمَا,Verily is
123,1,8,1-8-16,,,أَنَّما,That
124,1,8,1-8-17,,,كَأَنَّمَا,As if
125,1,8,1-8-18,,,كُلَّمَا  ,Every time Whenever
126,1,8,1-8-19,,,أَيۡنَ مَا ,Wherever
127,1,8,1-8-20,,,أَيۡنَمَا,Wherever
128,1,8,1-8-21,,,نِعِمَّا,What good that
129,1,8,1-8-22,,,بِئسَمَا,What bad that
130,1,8,1-8-23,,,فَـمَا,then … not
131,1,8,1-8-24,,,فَـمَا,So what ?
132,1,8,1-8-25,,,فَـمَا ,(then)
133,1,8,1-8-26,,,أَمَّا,As for
134,1,8,1-8-27,,,إِمَّا,If
135,1,8,1-8-28,,,إِمَّا,Either .. or
136,2,1,2-1-1,,,رَبّ,Lord/ O Lord
137,2,1,2-1-2,,,ٱلرَّحۡمَٰنِ ,Entirely Merciful
138,2,1,2-1-3,,,ٱلرَّحِيم,Especially Merciful
139,2,1,2-1-4,,,عَزِيز,(All-)Mighty
140,2,1,2-1-5,,,حَكِيم,(All-)Wise
141,2,1,2-1-6,,,غَفُور,Most forgiving
142,2,1,2-1-7,,,حَلِيم,Forbearing
143,2,1,2-1-8,,,ٱلعَظِيم,Great
144,2,1,2-1-9,,,ٱلعَلِيّ,Exalted (high)
145,2,1,2-1-10,,,عَلِيم ,(All-knowing) Knower
146,2,1,2-1-11,,,خَبِير,Acquainted
147,2,1,2-1-12,,,سَمِيع,The one who hears everything (all-hearing)
148,2,1,2-1-13,,,بَصِير,All-seeing
149,2,1,2-1-14,,,شَكُور ,Appreciative/ Grateful
150,2,1,2-1-15,,,قَدِير,Competent
151,2,1,2-1-16,,,وَكِيل,Disposer (of all affairs)
152,2,1,2-1-17,,,نَصِير,(Strong) helper
153,2,1,2-1-18,,,حَمِيد,Praiseworthy
154,2,1,2-1-19,,,تَوَّاب,Acceptor of repentance 
155,2,2,2-2-1,,,أَوَّل,First
156,2,2,2-2-2,,,ءَاخِر,Last
157,2,2,2-2-3,,,قَرِيب,Near
158,2,2,2-2-4,,,أَقۡرَب,Nearer
159,2,2,2-2-5,,,بَعِيد,Far
160,2,2,2-2-6,,, شَدِيد ,Severe / Strong
161,2,2,2-2-7,,,أَشَدّ ,Stronger / Severer
162,2,2,2-2-8,,,كَبِير ,Great / Large
163,2,2,2-2-9,,,أَكۡبَر , Greater / Larger
164,2,2,2-2-10,,,كَثِير  ,Many 
