AyahRef,Word,Meaning,Highlight
,هَٰذَا,This,هَٰذَا
2:25,قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ,"They will say, “This is what we were provided with before,”",بِهَٰذَا
2:26,مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۘ,“What did Allah intend by this example?”,فَهَٰذَا
30:56,فَهَٰذَا يَوۡمُ ٱلۡبَعۡثِ,This is the Day of Resurrection,
,ذَٰلِكَ,That,ذَٰلِكَ
2:2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ,This (that) is the Book in which there is no doubt,بِذَٰلِكَ
45:24,وَمَا لَهُم بِذَٰلِكَ مِنۡ عِلۡمٍۖ إِنۡ هُمۡ إِلَّا يَظُنُّون,Of that they have no knowledge; they are only assuming.,فَذَٰلِكَ
74:9,فَذَٰلِكَ يَوۡمَئِذٖ يَوۡمٌ عَسِيرٌ,That Day will be a difficult day.,
,هَٰذِهِ,This,هَٰذِهِ
7:19,وَلَا تَقۡرَبَا هَٰذِهِ ٱلشَّجَرَةَ,but do not approach this tree,هَٰذِهِ
16:30,لِّلَّذِينَ أَحۡسَنُواْ فِي هَٰذِهِ ٱلدُّنۡيَا حَسَنَةٞۚ,"For those who do good in this world, is goodness.",هَٰذِهِۦ
26:155,قَالَ هَٰذِهِۦ نَاقَةٞ لَّهَا شِرۡبٞ,"“This is a she-camel; she has her turn of drinking,”",
,تِلۡكَ (تِلۡكَ ٱلۡجَنَّةُ),That,تِلۡكَ
2:134,تِلۡكَ أُمَّةٞ قَدۡ خَلَتۡۖ,That was a nation that has passed on;,تِلۡكَ
6:83,وَتِلۡكَ حُجَّتُنَآ ءَاتَيۡنَٰهَآ إِبۡرَٰهِيمَ عَلَىٰ قَوۡمِهِۦۚ,That was Our argument which We gave to Abraham against his people.,
,هَٰٓؤُلَآءِ,These,هَٰٓؤُلَآءِ
4:41,وَجِئۡنَا بِكَ عَلَىٰ هَٰٓؤُلَآءِ شَهِيدٗا,And We bring you as a witness against these?,أَهَٰٓؤُلَآءِ
6:53,لِّيَقُولُوٓاْ أَهَٰٓؤُلَآءِ مَنَّ ٱللَّهُ عَلَيۡهِم,“Are these the ones whom Allah has favored from among us?”,
,أُوْلَٰٓئِكَ,,أُوْلَٰٓئِكَ
