Id,LessonId,Gender,Number,Word,Meaning
1,1,Male,Singular,هَٰذَا,This
2,1,Male,Singular,ذَٰلِكَ,That
3,1,Female,Singular,هَٰذِهِ,This
4,1,Female,Singular,تِلۡكَ (تِلۡكَ ٱلۡجَنَّةُ),That
5,1,,Plural,هَٰٓؤُلَآء,These
6,1,,Plural,أُوْلَٰٓئِكَ,Those
7,1,Male,Singular,ٱلَّذِي, who
8,1,Female,Singular,ٱلَّتِي, who
9,1,,Plural,ٱلَّذِينَ,Those who
10,1,,Plural,تِلۡكَ (تِلۡكَ ٱلرُّسُلُ),Those
11,1,,,نَعَمۡ,Yes
12,1,,,بَلَي,"Yes, indeed"
13,1,,,كَلَّا,Certainly not
14,1,,,إِلَّا,Except
15,1,,,إِنۡ .. إِلَّا,Nothing but
16,1,,,مَا .. إِلَّا,Nothing but
17,1,,,أَلَّا,So as not to/ that not
18,1,,,لَا,Do(es) not
19,1,,,مَا,Not (continuous)
20,1,,,لَنۡ,Will not
21,1,,,لَمۡ,Did not
22,1,Male,Singular ,لَيۡسَ,(There is) no
23,1,Female,Singular ,لَيۡسَت,(There is) no
24,1,,,غَيۡر (مَنۡ إِلَٰهٌ غَيۡرُ ٱللَّهِ),Other than
25,1,,,غَيۡر (غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ),not
26,1,,,مِن دُون,Apart from
27,1,,,أَ,Yes/ no Questions
28,1,,,هَلۡ,Yes/ no Questions
29,1,,,مَا (مَا لَوۡنُهَا),What ...?
30,1,,,مَاذا,What ...?
31,1,,,لِمَ,Why…?
32,1,,,مَنۡ,Who...?
33,1,,,مَتَى,When ...?
34,1,,,أَيۡنَ,Where...?
35,1,,,كَيۡفَ,How...?
36,1,,,كَمۡ,How many/ much?
37,1,,,أَيُّ,Which?
38,1,,,أنَّى (أَنَّىٰ يَكُونُ لِي غُلَٰمٞ),How...?
39,1,,,أنَّى (أَنَّىٰ لَكِ هَٰذَاۖ),From Where..?
40,1,,,فَوۡق,Above/ on/ over
41,1,,,تَحۡت,Under(neath)/ beneath
42,1,,,يَمِين,Right (hand)
43,1,,,شِمَال,Left (hand)
